,0,1,2,3,4,5,6,7,8,9
1,2.225647464145826,1.945616388272361,2.233198058873585,4.41080624222294,4.678211008492878,3.4274592067736784,3.1731069680691464,2.733183310060162,1.5184075492568514,2.6402892221482084
2,2.3709242083237885,1.4522599775631626,2.6834113733599283,1.9776600055286082,2.6891851090605265,1.7788597658897332,9.44938235496956,9.003330005598006,1.699854383266499,1.7146065263530494
3,2.0807578083051017,1.8507306649665942,1.9004974758268498,1.7990187935865558,1.436953260267958,1.4089824437753413,9.543915812275054,1.2661223408564743,1.67222935907722,1.3495387286038165
4,1.6904929121668282,6.7338008190279,1.7846804843861273,1.1602674165494662,1.9097822304257013,1.5463207973786652,1.9080341367657663,1.6529008285703404,1.9158166934633543,1.9438175451377637
5,1.3440834351913233,1.869556852230189,1.4850078214358153,1.701733257140248,6.9023274625124245,1.5538972856044633,1.633291391834473,5.191009248064465,1.6412017182195917,6.759820661784988
6,1.7957534993937734,4.63896509924403,1.2041028138925962,5.1707179221143384,2.043014021817916,2.0730051557731044,5.324242046737281,1.567828787340073,1.8640267526998904,5.0679478532844255
7,4.5315112508559094,4.025309623135474,1.166778317328021,4.633415157599292,1.3550399518622132,1.5849133492875027,1.3951285447440103,1.6338266778282462,1.3832998103933853,1.4929096434143634
8,2.0810631115885547,4.474508259307423,1.716403997690682,4.484418698618265,5.035094123632707,1.4405903681365781,5.290803344370303,1.5759847972683088,1.6394630399412107,5.197071942805598
9,3.567144503153999,6.361976346902697,4.050504788838259,1.3327776569657397,1.4982999850095642,3.5897393196113088,1.764364011811311,1.35445270489532,1.0253487503210499,1.6552505518141405
10,1.4091121619584666,1.555133028952808,1.451510523189016,4.507134917226623,4.146357804872963,4.367316493547174,1.5990196111432275,1.411241455865017,4.9652707622895385,5.262575434803817
11,1.2837515371800068,4.77303275418897,1.757231156217314,4.075688016113254,1.796055477409999,3.645234000564126,3.9268030190402023,3.4551772738987823,2.640512881823961,1.5462189556955044
12,4.19425781300665,4.0514707189344685,3.3343368144017242,5.762060025796564,1.535209457756281,4.04805520667168,3.5046386486019556,4.17311678140501,3.7662714282956835,4.1573143950177
13,4.074606656142157,3.8630022600313763,3.3405158037587594,4.137290452468448,3.2652500008573475,5.050006559824352,3.5085589777211164,3.661362103619217,3.97967004742343,3.944712709601796
101,3.0400650536113507,21.60070640837592,3.116051796798548,2.953255790412133,10.137678523114563,2.984029158044824,1.7588878633607152,2.6441813279626403,3.029769169925086,2.8639391498174818
301,2.558614793180557,5.395991491741187,1.712714593152465,2.376963562444026,5.4290566508289855,2.9034221244909326,1.9158302049806577,3.2448047741627977,6.945950325190536,1.7230547802924263
501,4.857616765954048,2.1096143282243935,2.4768974873707466,2.2613139413138295,1.5661506554597786,1.8885436025194016,3.39425031581419,12.387879619452159,3.473774923158213,4.408952184887745
